Tempo:138187; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:136440; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:135951; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:135904; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:142489; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:138801; Processos:2; Repeticoes:2000; Tamanho:10000 ; Resultado:10000.000000
Tempo:212041; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:204629; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:206145; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:203802; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:206046; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:205924; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:204245; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:213166; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:205723; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:205392; Processos:2; Repeticoes:3000; Tamanho:10000 ; Resultado:10000.000000
Tempo:272979; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:271762; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:271707; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:274306; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:274463; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:271909; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:273910; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:271854; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:273614; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:272217; Processos:2; Repeticoes:4000; Tamanho:10000 ; Resultado:10000.000000
Tempo:723582; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:726528; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:722208; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:728004; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:734124; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:726867; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:726644; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:729215; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:728260; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:734745; Processos:2; Repeticoes:1000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1455264; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1449966; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1447630; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1448889; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1443227; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1449366; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1444583; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1440638; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1445921; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:1447340; Processos:2; Repeticoes:2000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2172377; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2169954; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2166795; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2164537; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2163749; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2166602; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2167772; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2160298; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2173967; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2170792; Processos:2; Repeticoes:3000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2884337; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2876993; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2897792; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2897069; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2900530; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2899874; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2875217; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2890794; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2892841; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:2894369; Processos:2; Repeticoes:4000; Tamanho:100000 ; Resultado:100000.000000
Tempo:7608058; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7607732; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7590146; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7598992; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7606418; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7606611; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
Tempo:7585765; Processos:2; Repeticoes:1000; Tamanho:1000000 ; Resultado:1000000.000000
